Species ID,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species
856252_CE1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Tesseliconus,Conus eburneus
856252_CE2,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Tesseliconus,Conus eburneus
853932_CI1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Stephanoconus,Conus imperialis
856256_CT1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Tesseliconus,Conus tessulatus
852344_CM1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Rhizoconus,Conus mustelinus
852343_CM1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Rhizoconus,Conus miles
852340_CC1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Rhizoconus,Conus capitaneus
215429_CM1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Pionoconus,Conus magus
428368_CS1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Pionoconus,Conus striolatus
428363_CS1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Pionoconus,Conus stercusmuscarum
843072_CR1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Asprella,Conus rolani
853645_CT1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Splinoconus,Conus tribblei
853642_CL1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Splinoconus,Conus lenavati
853645_CT2,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Splinoconus,Conus tribblei
845894_CG1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Gastridium,Conus geographus
843253_CG1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Cylinder,Conus gloriamaris
836797_CB1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Conus,Conus bandanus
428363_CS2,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Pionoconus,Conus stercusmuscarum
848247_CF1,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conida,Conus,Phasmoconus,Conus flavus